borough,intersection,Number of Bike Accidents,lat_lon_list
MANHATTAN,CHRYSTIE STREET & DELANCEY STREET,24,"[40.71997, -73.9929]"
MANHATTAN,CLINTON STREET & DELANCEY STREET,24,"[40.71772, -73.98577]"
MANHATTAN,CLINTON STREET & DELANCEY STREET,24,"[40.71793, -73.98568]"
BROOKLYN,JAY STREET & TILLARY STREET,23,"[40.69613, -73.9871]"
BROOKLYN,JAY STREET & TILLARY STREET,23,"[40.69613, -73.98711]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68177, -73.96753]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68095, -73.96768]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68175, -73.96748]"
BROOKLYN,ATLANTIC AVENUE & BEDFORD AVENUE,19,"[40.67872, -73.95299]"
BROOKLYN,ATLANTIC AVENUE & BEDFORD AVENUE,19,"[40.67872, -73.953]"
BROOKLYN,GRAND STREET & LORIMER STREET,19,"[40.71117, -73.94889]"
BROOKLYN,GRAND STREET & LORIMER STREET,19,"[40.71117, -73.9489]"
MANHATTAN,CHRYSTIE STREET & GRAND STREET,19,"[40.71814, -73.99383]"
MANHATTAN,CHRYSTIE STREET & GRAND STREET,19,"[40.71814, -73.99384]"
QUEENS,126 STREET & ROOSEVELT AVENUE,19,"[40.75534, -73.84325]"
MANHATTAN,8 AVENUE & WEST 14 STREET,18,"[40.73975, -74.00252]"
MANHATTAN,8 AVENUE & WEST 14 STREET,18,"[40.73975, -74.00253]"
MANHATTAN,CHAMBERS STREET & WEST STREET,18,"[40.71718, -74.01287]"
MANHATTAN,CHAMBERS STREET & WEST STREET,18,"[40.71719, -74.0129]"
QUEENS,114 STREET & ROOSEVELT AVENUE,18,"[40.75254, -73.8526]"
QUEENS,114 STREET & ROOSEVELT AVENUE,18,"[40.75254, -73.85261]"
BROOKLYN,ROEBLING STREET & SOUTH 4 STREET,17,"[40.71079, -73.95994]"
BROOKLYN,ROEBLING STREET & SOUTH 4 STREET,17,"[40.71079, -73.95995]"
BROOKLYN,GRAND STREET & UNION AVENUE,17,"[40.71096, -73.95112]"
BROOKLYN,GRAND STREET & UNION AVENUE,17,"[40.71096, -73.95113]"
MANHATTAN,CENTRAL PARK WEST & WEST 96 STREET,17,"[40.79166, -73.96468]"
MANHATTAN,CENTRAL PARK WEST & WEST 96 STREET,17,"[40.79166, -73.96469]"
QUEENS,58 STREET & ROOSEVELT AVENUE,17,"[40.74539, -73.90661]"
QUEENS,58 STREET & ROOSEVELT AVENUE,17,"[40.74539, -73.90662]"
MANHATTAN,ALLEN STREET & DELANCEY STREET,16,"[40.7192, -73.99036]"
MANHATTAN,ALLEN STREET & DELANCEY STREET,16,"[40.71918, -73.99029]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73329, -73.98718]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73235, -73.98494]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73329, -73.98719]"
BROOKLYN,FLUSHING AVENUE & WASHINGTON AVENUE,16,"[40.69772, -73.96773]"
BROOKLYN,FLUSHING AVENUE & WASHINGTON AVENUE,16,"[40.69772, -73.96774]"
BROOKLYN,BUSHWICK AVENUE & GRAND STREET,15,"[40.71196, -73.94069]"
BROOKLYN,BUSHWICK AVENUE & GRAND STREET,15,"[40.71196, -73.9407]"
MANHATTAN,1 AVENUE & EAST 61 STREET,15,"[40.76086, -73.96107]"
MANHATTAN,1 AVENUE & EAST 61 STREET,15,"[40.7612, -73.96187]"
BROOKLYN,MYRTLE AVENUE & VANDERBILT AVENUE,15,"[40.69313, -73.96983]"
BROOKLYN,MYRTLE AVENUE & VANDERBILT AVENUE,15,"[40.69313, -73.96984]"
BROOKLYN,AVENUE J & OCEAN PARKWAY,15,"[40.62417, -73.97047]"
BROOKLYN,AVENUE J & OCEAN PARKWAY,15,"[40.62418, -73.97048]"
QUEENS,108 STREET & ROOSEVELT AVENUE,15,"[40.75072, -73.85876]"
QUEENS,108 STREET & ROOSEVELT AVENUE,15,"[40.75072, -73.85877]"
MANHATTAN,2 AVENUE & EAST 59 STREET,15,"[40.7606, -73.96431]"
MANHATTAN,2 AVENUE & EAST 59 STREET,15,"[40.7606, -73.96434]"
BROOKLYN,JAY STREET & JOHNSON STREET,14,"[40.69496, -73.98716]"
BROOKLYN,JAY STREET & JOHNSON STREET,14,"[40.69496, -73.98717]"
MANHATTAN,2 AVENUE & EAST 34 STREET,14,"[40.74478, -73.97588]"
MANHATTAN,2 AVENUE & EAST 34 STREET,14,"[40.74478, -73.97589]"
MANHATTAN,2 AVENUE & EAST 23 STREET,14,"[40.73789, -73.9809]"
MANHATTAN,2 AVENUE & EAST 23 STREET,14,"[40.73788, -73.98091]"
MANHATTAN,3 AVENUE & EAST 23 STREET,14,"[40.73883, -73.98315]"
BROOKLYN,GRAHAM AVENUE & GRAND STREET,14,"[40.71164, -73.94391]"
BROOKLYN,GRAHAM AVENUE & GRAND STREET,14,"[40.71164, -73.94392]"
QUEENS,30 AVENUE & STEINWAY STREET,14,"[40.76389, -73.91499]"
QUEENS,30 AVENUE & STEINWAY STREET,14,"[40.76389, -73.915]"
MANHATTAN,LIBERTY STREET & WEST STREET,14,"[40.71091, -74.01446]"
MANHATTAN,LIBERTY STREET & WEST STREET,14,"[40.71088, -74.01439]"
MANHATTAN,AVENUE OF THE AMERICAS & WEST 23 STREET,14,"[40.74291, -73.9928]"
MANHATTAN,AVENUE OF THE AMERICAS & WEST 23 STREET,14,"[40.7429, -73.99281]"
MANHATTAN,2 AVENUE & EAST 58 STREET,14,"[40.75998, -73.9648]"
MANHATTAN,2 AVENUE & EAST 58 STREET,14,"[40.75998, -73.96481]"
BROOKLYN,36 STREET & 5 AVENUE,14,"[40.65295, -74.00217]"
BROOKLYN,36 STREET & 5 AVENUE,14,"[40.65295, -74.00215]"
MANHATTAN,CHRYSTIE STREET & EAST HOUSTON STREET,14,"[40.72365, -73.99102]"
MANHATTAN,CHRYSTIE STREET & EAST HOUSTON STREET,14,"[40.72365, -73.99103]"
MANHATTAN,9 AVENUE & WEST 42 STREET,14,"[40.75843, -73.99263]"
MANHATTAN,9 AVENUE & WEST 42 STREET,14,"[40.75843, -73.99264]"
MANHATTAN,CLINTON STREET & STANTON STREET,13,"[40.72024, -73.98448]"
MANHATTAN,CLINTON STREET & STANTON STREET,13,"[40.72023, -73.98448]"
BRONX,EAST 149 STREET & MORRIS AVENUE,13,"[40.81739, -73.92276]"
BRONX,EAST 149 STREET & MORRIS AVENUE,13,"[40.81739, -73.92277]"
QUEENS,QUEENS BOULEVARD & SKILLMAN AVENUE,13,"[40.74603, -73.9344]"
QUEENS,QUEENS BOULEVARD & SKILLMAN AVENUE,13,"[40.74603, -73.93441]"
MANHATTAN,7 AVENUE & WEST 23 STREET,13,"[40.7441, -73.99564]"
MANHATTAN,7 AVENUE & WEST 23 STREET,13,"[40.7441, -73.99565]"
MANHATTAN,2 AVENUE & EAST 54 STREET,13,"[40.75738, -73.9667]"
MANHATTAN,2 AVENUE & EAST 54 STREET,13,"[40.75738, -73.96671]"
MANHATTAN,EAST 116 STREET & LEXINGTON AVENUE,13,"[40.79862, -73.94162]"
MANHATTAN,EAST 116 STREET & LEXINGTON AVENUE,13,"[40.79862, -73.94163]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.6897, -73.9751]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.7136, -74.0091]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.6897, -73.97511]"
QUEENS,BROADWAY & NORTHERN BOULEVARD,13,"[40.75328, -73.90691]"
MANHATTAN,1 AVENUE & EAST 59 STREET,13,"[40.75962, -73.96196]"
MANHATTAN,1 AVENUE & EAST 59 STREET,13,"[40.75962, -73.96197]"
MANHATTAN,7 AVENUE & WEST 116 STREET,13,"[40.80322, -73.95253]"
MANHATTAN,EAST 23 STREET & PARK AVENUE SOUTH,13,"[40.74018, -73.98636]"
MANHATTAN,EAST 23 STREET & PARK AVENUE SOUTH,13,"[40.74018, -73.98637]"
BROOKLYN,EASTERN PARKWAY & WASHINGTON AVENUE,13,"[40.67164, -73.96257]"
BROOKLYN,EASTERN PARKWAY & WASHINGTON AVENUE,13,"[40.67163, -73.96263]"
BROOKLYN,BUSHWICK AVENUE & FLUSHING AVENUE,13,"[40.70191, -73.93698]"
BROOKLYN,BUSHWICK AVENUE & FLUSHING AVENUE,13,"[40.70191, -73.93699]"
BROOKLYN,BEDFORD AVENUE & CHURCH AVENUE,13,"[40.65053, -73.95582]"
BROOKLYN,BEDFORD AVENUE & CHURCH AVENUE,13,"[40.65053, -73.95583]"
MANHATTAN,BROADWAY & EAST HOUSTON STREET,13,"[40.72543, -73.99677]"
MANHATTAN,BROADWAY & EAST HOUSTON STREET,13,"[40.7257, -73.99656]"
